State,County,FIPS,Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
CA,Alameda,6002,12.0242960569,1.1860966562,1.2035911324,1.4556753474,1.0007591659,2.6381367292,1,1.1036367363,1.2605100842,1.1758902052
CA,Alpine,6004,9.0086111999,1.0005901089,1,1.0005928922,1,1.002339641,1,1,1,1.0050885578
CA,Amador,6006,9.1264587863,1.0049154824,1.0374126628,1.0046729143,1.0000000924,1.0648340135,1,1.0027127373,1.0068189603,1.0050919232
CA,Butte,6008,9.3876429475,1.0244449597,1.0112102116,1.048242886,1.0007945464,1.2339384469,1,1.0116002209,1.0291592939,1.0282523821
CA,Calaveras,6010,9.0948024444,1.0002346237,1.0017142339,1.0060577182,1,1.067642248,1,1.0026839347,1.0067465673,1.0097231186
CA,Colusa,6012,9.1162794571,1.0389121567,1.016200477,1.0040383474,1.0000284439,1.0352082423,1,1.0030204081,1.007592353,1.0112790287
CA,Contra Costa,6014,14.4425842178,1.1512590128,2.5991237218,1.3286040365,3.0279932154,2.1546480197,1,1.0185019042,1.0465079531,1.1159463542
CA,Del Norte,6016,9.0488625242,1.003659829,1.001220657,1.002972389,1,1.030571446,1,1.0008964211,1.0022533206,1.0072884614
CA,El Dorado,6018,9.3226298432,1.0134956296,1.0030065619,1.0252146107,1,1.1941928337,1,1.0159776721,1.0401628307,1.0305797046
CA,Fresno,6020,10.7855043637,1.1169135397,1.2030580916,1.1900143544,1.005086127,2.0220521264,1,1.0381297969,1.0958462867,1.114404041
CA,Glenn,6022,9.1209545706,1.0274179512,1.0187027589,1.0047965254,1.0004270133,1.0392156993,1,1.0058156267,1.0146186511,1.0099603447
CA,Humboldt,6024,9.4024657677,1.0067540021,1.0069546658,1.0357889842,1.0732940455,1.1708144326,1,1.0234326363,1.0589022585,1.0265247428
CA,Imperial,6026,9.5729577221,1.0175402834,1.0800131591,1.010060757,1.1026374595,1.2290045292,1,1.0223990898,1.0563042481,1.0549981959
CA,Inyo,6028,9.0727479539,1.0017277722,1.0069832736,1.0035378986,1.0001417259,1.0320535459,1,1.0063480771,1.0159570631,1.0059985975
CA,Kern,6030,13.9371478989,1.3933482186,3.4860454432,1.1492789932,1.1217537771,2.051583651,1.4715608736,1.0491199201,1.1234719995,1.0909850227
CA,Kings,6032,9.5104895041,1.0157418827,1.2735897589,1.0069773495,1.0137621348,1.1648726352,1,1.0039171187,1.0098463993,1.0217822251
CA,Lake,6034,9.1416263354,1.0049966611,1.0022899384,1.011407594,1.0001872826,1.0806854885,1,1.0085728725,1.0215494976,1.0119370006
CA,Lassen,6036,9.1846899777,1.0252842482,1.0016526857,1.0102491923,1.0839926065,1.0401182927,1,1.0012496636,1.0031412632,1.0190020256
CA,Los Angeles,6038,30.3160039707,1.2768845049,6.0264912287,2.9046914261,3.1263200217,10.3605097137,1,1.4991280435,2.2546505223,1.8673285098
CA,Madera,6040,9.3207347184,1.0200982853,1.0357661648,1.0178506381,1.000001178,1.2018024918,1,1.006141234,1.0154371212,1.0236376053
CA,Marin,6042,9.5725086278,1.0291218047,1.014261659,1.1057620758,1.0000638809,1.3298206574,1,1.0145652538,1.0366124541,1.0423008421
CA,Mariposa,6044,9.0462635126,1.0007626059,1.0005361391,1.0040421801,1,1.0257721593,1,1.0036480512,1.0091700513,1.0023323257
CA,Mendocino,6046,9.21547526,1.0028875502,1.0126636135,1.025255941,1,1.130054038,1,1.0074181821,1.0186469675,1.0185489677
CA,Merced,6048,9.7272982438,1.0326733343,1.2188285193,1.0383505043,1.0073815987,1.3425901352,1,1.0121654112,1.0305800109,1.0447287298
CA,Modoc,6050,9.0671749583,1.0023688518,1.000033929,1.0028722523,1,1.0156065898,1,1.0056815542,1.0142816343,1.026330147
CA,Mono,6052,9.044209095,1.0016756648,1.0004541405,1.0025293356,1,1.0200594716,1,1.0020698586,1.0052029725,1.0122176513
CA,Monterey,6054,14.424929851,1.0529096247,4.7029785805,1.0937055431,1.8429537528,1.5918321652,1,1.0249376393,1.0626853636,1.0529271818
CA,Napa,6056,9.3223561287,1.0206303299,1.0161560111,1.0397476055,1.0046162164,1.1607855122,1,1.0160332405,1.0403025146,1.0240846984
CA,Nevada,6058,9.2303863046,1.0020243193,1.0143025473,1.0322385235,1.0004075692,1.1305850881,1,1.0096332872,1.0242150467,1.0169799233
CA,Orange,6060,14.3292710663,1.2665854361,1.3542253486,1.6024201892,1.2552391192,4.1782294696,1,1.0808545276,1.2032427924,1.3884741836
CA,Placer,6062,9.6720344225,1.0628826485,1.0138486691,1.0739431964,1.0027326195,1.3873042599,1,1.0157929033,1.0396983827,1.075831743
CA,Plumas,6064,10.3891544585,1.0017423667,1.0033498824,1.0050089692,2.3113547121,1.0396373105,1,1.0050688343,1.0127414511,1.0102509323
CA,Riverside,6066,12.8280756765,1.1579420505,1.3664429008,1.3405152696,1.0552323315,3.158574712,1.0120481982,1.1164430469,1.2927011049,1.3281760622
CA,Sacramento,6068,11.7535831428,1.2784123443,1.0355123807,1.2918290806,1.321792148,2.4169858595,1,1.0685821245,1.1723938299,1.1680753752
CA,San Benito,6070,9.1346906218,1.0022874568,1.0134176058,1.0099816624,1.0000614145,1.0830866848,1,1.005905961,1.0148457244,1.0051041121
CA,San Bernardino,6072,14.5848806165,1.2748846704,2.081027061,1.3750701165,1.4292626117,3.0171816107,1.8491177821,1.1015085342,1.2551604451,1.2016677848
CA,San Diego,6074,16.446141684,2.4239684727,1.2001585402,1.268065714,1.994226146,4.6316785427,1,1.1519029563,1.3818361357,1.3943051764
CA,San Francisco,6076,10.3505108424,1.0933915616,1.0563406979,1.2915182237,1.1806623852,1.6472363822,1,1,1,1.0813615918
CA,San Joaquin,6078,10.5265058014,1.0754719624,1.3442040362,1.1265272506,1.0082673618,1.7932347416,1,1.0200923239,1.0505057592,1.1082023658
CA,San Luis Obispo,6080,9.8046972393,1.0214917664,1.0742078566,1.057445576,1.2336414362,1.3068935878,1,1.0183178723,1.0460453504,1.0466537936
CA,San Mateo,6082,10.9375850191,1.0852099798,1.132950561,1.2571749119,1.0001301089,2.0447797561,1,1.0935931471,1.2352636585,1.0884828957
CA,Santa Barbara,6084,10.3003622268,1.2092317253,1.3085467914,1.0987812147,1.0063059534,1.4799551627,1,1.038860537,1.0976831352,1.0609977071
CA,Santa Clara,6086,13.0855023156,1.308928931,1.3843026683,1.5245375291,1.0130643279,3.0819902268,1.2097227058,1.0945294901,1.2376173337,1.2308091029
CA,Santa Cruz,6088,9.6467693368,1.0529464718,1.0342270599,1.0634308762,1.0240736249,1.28111616,1.1152984548,1.0137358966,1.0345277127,1.0274130799
CA,Shasta,6090,9.5977265455,1.0670293809,1.095192861,1.0363757707,1.0124359814,1.219178404,1.0829364341,1.017343447,1.043595958,1.0236383083
CA,Sierra,6092,9.0107613081,1.0003148897,1.0005941877,1.0009278805,1.0000176084,1.0060460459,1,1,1,1.0028606959
CA,Siskiyou,6094,9.1277043658,1.0021068583,1.0048006583,1.0127252281,1,1.0719995417,1,1.0064264311,1.0161540199,1.0134916284
CA,Solano,6096,10.1656413081,1.1020479666,1.3768268684,1.1095588972,1.0021931765,1.4675667544,1,1.0149004794,1.0374551068,1.0550920588
CA,Sonoma,6098,9.9700389135,1.0442399756,1.0363789668,1.1371034155,1.0002757212,1.6122386271,1,1.0232314179,1.0583964545,1.0581743348
CA,Stanislaus,6100,9.9873722945,1.0612365669,1.0956199564,1.0958943212,1.0438046396,1.5789096465,1,1.0137380428,1.0345331023,1.0636360188
CA,Sutter,6102,9.6553723814,1.0823762438,1.0331445857,1.0188406796,1.3812330094,1.1054865751,1,1.0044383085,1.011156509,1.0186964702
CA,Tehama,6104,9.1782575732,1.0065676906,1.0643144213,1.0125023869,1.0039042976,1.0683178721,1,1.0039161529,1.0098439788,1.008890773
CA,Trinity,6106,9.0480676815,1.0001960575,1.0004239707,1.0015553509,1,1.0195164914,1,1.0059042423,1.0148414012,1.0056301676
CA,Tulare,6108,9.8789637332,1.0502967687,1.1435175776,1.0804908067,1.0000234803,1.497569996,1,1.0155958904,1.0392031588,1.0522660547
CA,Tuolumne,6110,9.171987953,1.0063085719,1.0113747953,1.008631148,1.0085733676,1.0764802962,1,1.0146777118,1.0368951408,1.0090469213
CA,Ventura,6112,11.237312929,1.1118661256,1.2964319432,1.1831043667,1.6456313333,1.7493310395,1,1.0435772899,1.1095395685,1.0978312623
CA,Yolo,6114,10.5628914997,2.1005437384,1.0677975981,1.0368604643,1.0017893177,1.2746454281,1,1.0140417038,1.0352964148,1.0319168346
CA,Yuba,6116,9.2821482897,1.1617543338,1.0038236238,1.0119785778,1.0011373179,1.0694123183,1,1.0068481551,1.017214095,1.0099798679
CO,Adams,8002,11.2576325136,1.0559654047,1.2888598249,1.1349383529,2.2011112148,1.4763886603,1,1.0117167844,1.0294523041,1.0591999673
CO,Alamosa,8004,9.050380681,1.0021565295,1.0004460414,1.0065707822,1.0016208834,1.0237665715,1,1.0035074324,1.0088165779,1.0034958627
CO,Arapahoe,8006,10.1936613183,1.1112730319,1.0661558116,1.2168084936,1.0088443552,1.536500126,1,1.0531713783,1.1336560838,1.0672520379
CO,Archuleta,8008,9.0355598433,1.0010879975,1.0001629834,1.0049506101,1.0000001849,1.0200353746,1,1.0019457843,1.0048910896,1.0024858188
CO,Baca,8010,9.040253757,1.0002927036,1.022327973,1.0027134211,1.0000681156,1.0118188528,1,1.0002748349,1.0006908487,1.0020670073
CO,Bent,8012,9.0560293169,1.0172903986,1.0209294628,1.002812565,1.0000386525,1.0105303428,1,1.0003235123,1.0008132088,1.0032911741
CO,Boulder,8014,10.0871856055,1.059087457,1.0846022544,1.1154939457,1.3908084678,1.2876526888,1.0399839638,1.018653779,1.04688972,1.0440133289
CO,Broomfield,8015,9.0986454655,1.0058494756,1.0059219483,1.0158992419,1.0002061467,1.0643415348,1,1,1,1.0064271181
CO,Chaffee,8016,9.0624623912,1.0104750195,1.0061546634,1.0083032903,1.0001202522,1.0278072457,1,1.0019597119,1.0049261002,1.0027161079
CO,Cheyenne,8018,9.1628219804,1.0075310415,1.1349048392,1.0012099732,1.0062616114,1.0104458228,1,1,1,1.0024686923
CO,Clear Creek,8020,9.113325348,1.0009055942,1.0025746948,1.0049083725,1,1.1037272143,1,1,1,1.0012094724
CO,Conejos,8022,9.0236411243,1.0004671222,1.0038795783,1.0035449661,1,1.0130164374,1,1,1,1.0027330202
CO,Costilla,8024,9.0171215833,1.0001714885,1.0000186781,1.0018869063,1,1.0128147825,1,1,1,1.002229728
CO,Crowley,8026,9.0174451566,1.0001108064,1.006744412,1.0018976501,1,1.0058102017,1,1,1,1.0028820864
