,Aggregate household income In 1999 Dollars,Airborne,Aircraft,Area Total,Cement,Commercial,Housing units,Industrial,Nonroad,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: No fuel used,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: Solar energy,Onroad,Residential,Rural,Total Emissions,Total Population,Urban,MSA,CBSA Code
15500,2507223800.0,0.0110360561,0.004390389000000001,434.7722,0.0,0.014644743799999999,55463.0,0.0638239495,0.0192988452,51584.0,911.0,16783.0,2996.0,30722.0,78.0,78.0,16.0,0.19161337260000003,0.0430277521,39979.0,0.3478351083,130800.0,90821.0,"Burlington, NC (Metropolitan Statistical Area)",15500
15540,4335924100.0,0.054159375399999994,0.0215458122,1506.3324000000002,0.0,0.1080616058,82718.0,0.06231970614275207,0.0398400398,75978.0,3649.0,4436.0,30014.0,37472.0,72.0,333.0,2.0,0.2897016359,0.1793921834,80318.0,0.8279377834,198889.0,118571.0,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",15540
15940,8060771000.0,0.014474073099999998,0.0057581101999999995,979.9168,0.0,0.0992711023,170040.0,0.1986007144,0.06495049280000001,159442.0,1384.0,19184.0,9802.0,127836.0,257.0,966.0,13.0,0.43563456809999995,0.2299737799,71826.0,1.0486628407,406934.0,335108.0,"Canton-Massillon, OH (Metropolitan Statistical Area)",15940
15980,10691298000.0,0.0642836957,0.0255734912,1211.889,0.0,0.0224732116,245405.0,0.0995609731,0.1515787493,188599.0,190.0,179358.0,403.0,5826.0,2650.0,83.0,89.0,0.7213681498000001,0.0151976275,51176.0,1.8237799156,440888.0,389712.0,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",15980
16060,1966431000.0,0.0675757275,0.0268831333,1046.9029,0.0,0.033556101199999994,54547.0,0.0348204015,0.0198969333,49573.0,956.0,23140.0,259.0,25010.0,80.0,128.0,0.0,0.18271148250000002,0.0474265582,44028.0,0.9485953658999999,120908.0,76880.0,"Carbondale-Marion, IL (Metropolitan Statistical Area)",16060
16300,5156292700.0,0.0398413456,0.0158497772,2019.6967,0.0,0.07494228789999999,99054.0,0.1392605513,0.0542064802,94059.0,960.0,9995.0,1830.0,80183.0,373.0,700.0,18.0,0.32082707479999995,0.12366584319999999,60549.0,1.2766989633999999,237230.0,176681.0,"Cedar Rapids, IA (Metropolitan Statistical Area)",16300
16540,2470368200.0,0.0037100439,0.0014759382,772.627,0.0,0.0299886289,53803.0,0.028721054300000003,0.017304697,50633.0,3243.0,18844.0,17702.0,10390.0,205.0,224.0,25.0,0.2190846725,0.0544086866,61234.0,0.3702494675,129313.0,68079.0,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",16540
16580,4054693200.0,0.07154256739999999,0.028461235100000003,1924.2828,0.0,0.052789970299999996,88138.0,0.1048212866,0.0568233661,82711.0,275.0,18016.0,635.0,63267.0,158.0,357.0,3.0,0.313168067,0.1188103561,45687.0,0.7927567846,210275.0,164588.0,"Champaign-Urbana, IL (Metropolitan Statistical Area)",16580
16620,4551140600.0,0.0418352638,0.0166430042,1757.9919999999997,0.0,0.1030327557,110199.0,0.2059403365,0.026038953799999997,100537.0,1707.0,35590.0,729.0,61982.0,176.0,330.0,23.0,0.44830762700000004,0.0870936327,82126.0,1.5766344919999997,235938.0,153812.0,"Charleston, WV (Metropolitan Statistical Area)",16620
16700,10664007500.0,0.1037555847,0.041276294,3162.8695000000002,0.24154496879999998,0.0750974121,232985.0,0.6402418422,0.1039243288,207957.0,1255.0,144663.0,3264.0,57818.0,703.0,205.0,49.0,0.8297068103,0.0810595896,116500.0,5.9466980927,549033.0,432533.0,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",16700
16740,38727516000.0,0.34895020870000004,0.13882019680000002,5179.396600000001,0.0,0.29970741219999997,707177.0,0.972530726,0.33688908579999993,658711.0,7455.0,291205.0,43311.0,314253.0,1234.0,1076.0,177.0,2.3947562132000004,0.4358064004,441231.0,6.9955402941000004,1717372.0,1276141.0,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",16740
